HostID,VerificationMediumID
1355886,HV_006
1355886,HV_001
1356696,HV_008
1356696,HV_015
1356696,HV_006
1356696,HV_001
1363490,HV_016
1363490,HV_017
1363490,HV_008
1363490,HV_009
1363490,HV_015
1363490,HV_006
1363490,HV_001
1375021,HV_015
1375021,HV_006
1375021,HV_001
1379138,HV_008
1379138,HV_009
1379138,HV_015
1379138,HV_006
1379138,HV_001
1379358,HV_016
1379358,HV_017
1379358,HV_008
1379358,HV_009
1379358,HV_015
1379358,HV_006
1379358,HV_001
1380838,HV_015
1380838,HV_006
1380838,HV_001
1382401,HV_015
1382401,HV_006
1382401,HV_001
1382925,HV_016
1382925,HV_017
1382925,HV_008
1382925,HV_009
1382925,HV_015
1382925,HV_006
1382925,HV_001
1387754,HV_008
1387754,HV_015
1387754,HV_006
1387754,HV_001
1388669,HV_010
1388669,HV_018
1388669,HV_015
1388669,HV_006
1388669,HV_013
1388669,HV_001
1390845,HV_015
1390845,HV_006
1390845,HV_001
1393266,HV_016
1393266,HV_007
1393266,HV_015
1393266,HV_006
1393266,HV_001
1396743,HV_017
1396743,HV_008
1396743,HV_015
1396743,HV_006
1396743,HV_001
1397063,HV_015
1397063,HV_006
1397063,HV_001
1403646,HV_016
1403646,HV_008
1403646,HV_015
1403646,HV_006
1403646,HV_001
1414691,HV_016
1414691,HV_007
1414691,HV_009
1414691,HV_015
1414691,HV_006
1414691,HV_001
1434203,HV_016
1434203,HV_017
1434203,HV_007
1434203,HV_009
1434203,HV_015
1434203,HV_006
1434203,HV_001
1436798,HV_016
1436798,HV_008
1436798,HV_015
1436798,HV_006
1436798,HV_001
1445691,HV_016
1445691,HV_008
1445691,HV_009
1445691,HV_015
1445691,HV_006
1445691,HV_001
1452570,HV_016
1452570,HV_008
1452570,HV_015
1452570,HV_006
1452570,HV_001
1459013,HV_008
1459013,HV_015
1459013,HV_006
1459013,HV_001
1466280,HV_016
1466280,HV_007
1466280,HV_015
1466280,HV_006
1466280,HV_001
1478274,HV_007
1478274,HV_009
1478274,HV_015
1478274,HV_006
1478274,HV_001
1479707,HV_008
1479707,HV_015
1479707,HV_006
1479707,HV_001
1481380,HV_016
1481380,HV_001
1511749,HV_016
1511749,HV_008
1511749,HV_015
1511749,HV_006
1511749,HV_001
1520116,HV_016
1520116,HV_009
1520116,HV_015
1520116,HV_006
1520116,HV_001
1539790,HV_016
1539790,HV_007
1539790,HV_015
1539790,HV_006
1539790,HV_001
1545026,HV_015
1545026,HV_006
1545026,HV_001
1545100,HV_008
1545100,HV_015
1545100,HV_006
1545100,HV_001
1551432,HV_008
1551432,HV_015
1551432,HV_006
1551432,HV_001
1566314,HV_015
1566314,HV_001
1577903,HV_016
1577903,HV_009
1577903,HV_015
1577903,HV_006
1577903,HV_001
1592704,HV_016
1592704,HV_007
1592704,HV_015
1592704,HV_006
1592704,HV_001
1608733,HV_016
1608733,HV_007
1608733,HV_015
1608733,HV_006
1608733,HV_001
1611114,HV_008
1611114,HV_015
1611114,HV_006
1611114,HV_001
1611939,HV_016
1611939,HV_008
1611939,HV_015
1611939,HV_006
1611939,HV_001
1612983,HV_016
1612983,HV_017
1612983,HV_008
1612983,HV_015
1612983,HV_006
1612983,HV_001
1618021,HV_016
1618021,HV_017
1618021,HV_008
1618021,HV_015
1618021,HV_006
1618021,HV_001
1623580,HV_017
1623580,HV_007
1623580,HV_015
1623580,HV_006
1623580,HV_001
1628476,HV_008
1628476,HV_015
1628476,HV_006
1628476,HV_001
1635606,HV_016
1635606,HV_007
1635606,HV_015
1635606,HV_006
1635606,HV_001
1645336,HV_016
1645336,HV_008
1645336,HV_015
1645336,HV_006
1645336,HV_001
1649939,HV_017
1649939,HV_008
1649939,HV_015
1649939,HV_006
1649939,HV_001
1650960,HV_007
1650960,HV_015
1650960,HV_006
1650960,HV_001
1658653,HV_016
1658653,HV_002
1675559,HV_016
1675559,HV_007
1675559,HV_015
1675559,HV_006
1675559,HV_001
